x,y,z
1.30778,0,2.15484
2.62952,0,4.22654
3.96538,0,6.21441
5.31558,0,8.11771
6.68038,0,9.93572
8.06004,0,11.6677
9.45489,0,13.3128
10.8653,0,14.8704
12.2916,0,16.3396
13.7342,0,17.7197
15.1936,0,19.0098
16.6703,0,20.2091
18.1646,0,21.3166
19.6771,0,22.3317
21.2082,0,23.2532
22.7584,0,24.0803
24.3281,0,24.812
25.9178,0,25.4473
27.5277,0,25.985
29.1582,0,26.4241
30.8094,0,26.7633
32.4817,0,27.0015
34.175,0,27.1373
35.8894,0,27.1694
37.6249,0,27.0964
39.3813,0,26.9167
41.1713,0,26.7919
42.9828,0,26.5575
44.8291,0,26.3808
46.7107,0,26.2634
48.6151,0,26.0318
50.5562,0,25.8625
52.5345,0,25.7573
54.5371,0,25.5326
56.5785,0,25.3756
58.6592,0,25.2881
60.7659,0,25.0752
62.9138,0,24.9359
65.0884,0,24.6667
67.3063,0,24.4753
69.5681,0,24.3642
71.8588,0,24.1159
74.1956,0,23.9528
76.5625,0,23.647
78.9781,0,23.4318
81.4431,0,23.3104
83.9408,0,23.037
86.491,0,22.8636
89.0754,0,22.5311
91.7153,0,22.3056
94.4119,0,22.1914
97.1464,0,21.9059
99.9412,0,21.74
102.776,0,21.3934
105.676,0,21.1758
108.641,0,21.0929
111.652,0,20.8126
114.734,0,20.6786
117.864,0,20.3339
120.994,0,19.9647
124.124,0,19.571
127.254,0,19.1527
130.384,0,18.7099
133.514,0,18.2426
136.644,0,17.7508
139.774,0,17.2344
142.904,0,16.6935
146.034,0,16.1281
149.164,0,15.5381
152.294,0,14.9237
155.424,0,14.2847
158.554,0,13.6212
161.684,0,12.9331
164.814,0,12.2206
167.944,0,11.4835
171.074,0,10.7219
174.204,0,9.93571
177.334,0,9.12505
180.464,0,8.28986
183.594,0,7.43014
186.724,0,6.5459
189.854,0,5.63713
192.984,0,4.70384
196.114,0,3.74602
199.244,0,2.76368
202.374,0,1.75681
205.504,0,0.725423
208.634,0,-0.330493
